dia;mes;semana_ano;semanas_mes;feriado_2015-01-01 00:00:00;feriado_2016-01-01 00:00:00;feriado_2017-01-01 00:00:00;feriado_2015-02-17 00:00:00;feriado_2016-02-09 00:00:00;feriado_2017-02-28 00:00:00;feriado_2015-04-03 00:00:00;feriado_2016-03-25 00:00:00;feriado_2017-04-14 00:00:00;feriado_2015-04-21 00:00:00;feriado_2016-04-21 00:00:00;feriado_2017-04-21 00:00:00;feriado_2015-05-01 00:00:00;feriado_2016-05-01 00:00:00;feriado_2017-05-01 00:00:00;feriado_2015-06-04 00:00:00;feriado_2016-05-26 00:00:00;feriado_2017-06-15 00:00:00;feriado_2015-09-07 00:00:00;feriado_2016-09-07 00:00:00;feriado_2017-09-07 00:00:00;feriado_2015-10-12 00:00:00;feriado_2016-10-12 00:00:00;feriado_2017-10-12 00:00:00;feriado_2015-11-02 00:00:00;feriado_2016-11-02 00:00:00;feriado_2017-11-02 00:00:00;feriado_2015-11-15 00:00:00;feriado_2016-11-15 00:00:00;feriado_2017-11-15 00:00:00;feriado_2015-12-25 00:00:00;feriado_2016-12-25 00:00:00;feriado_2017-12-25 00:00:00;y
10;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2532.2998
17;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2110.0384
24;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2202.6063
31;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2268.5453
7;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2061.8525999999997
14;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2588.0941
21;2;7;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1387.2489
28;2;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2088.4817
7;3;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1875.4489
14;3;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1877.9848
